text,language,category,sentiment_score,priority_weight
Need urgent drain cleaning in block 3,english,blocked_drain,-0.6065,0.5552
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.6331,0.806
Drain near lane 4 is clogged and overflowing,english,blocked_drain,-0.8785,0.6895
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-1.0,0.7811
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.6498,0.7929
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.554,0.7607
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.4193,0.759
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.6682,0.7339
Need urgent drain cleaning in block 3,english,blocked_drain,-0.5084,0.6849
Drain near lane 19 is clogged and overflowing,english,blocked_drain,-0.3745,0.8331
Drain near lane 19 is clogged and overflowing,english,blocked_drain,-0.7902,0.5934
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.8609,0.736
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.7581,0.8182
Drain near lane 6 is clogged and overflowing,english,blocked_drain,-0.6912,0.7426
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.6889,0.8799
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.4393,0.6678
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.6629,0.7035
Drain near lane 9 is clogged and overflowing,english,blocked_drain,-0.7245,0.6801
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.9451,0.5414
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.5116,0.7484
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.4528,0.5685
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.7725,0.8551
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-1.0,0.7423
Drain near lane 20 is clogged and overflowing,english,blocked_drain,-0.5444,0.5717
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.8084,0.8162
Drain near lane 16 is clogged and overflowing,english,blocked_drain,-0.7068,0.7314
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.5351,0.725
Drain near lane 8 is clogged and overflowing,english,blocked_drain,-0.6242,0.6126
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.7972,0.6605
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.6831,0.8965
Drain near lane 17 is clogged and overflowing,english,blocked_drain,-0.796,0.6411
Drain near lane 7 is clogged and overflowing,english,blocked_drain,-0.7087,0.6865
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.9123,0.6367
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.6958,0.6694
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.2814,0.7105
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.6184,0.7186
Need urgent drain cleaning in block 17,english,blocked_drain,-0.8153,0.7307
Drain near lane 11 is clogged and overflowing,english,blocked_drain,-0.223,0.7477
Drain near lane 10 is clogged and overflowing,english,blocked_drain,-0.6623,0.6954
Need urgent drain cleaning in block 9,english,blocked_drain,-0.5313,0.7464
Drain near lane 20 is clogged and overflowing,english,blocked_drain,-0.5198,0.7131
Need urgent drain cleaning in block 14,english,blocked_drain,-0.5729,0.6917
Need urgent drain cleaning in block 9,english,blocked_drain,-0.6653,0.8167
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.4248,0.7428
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.8973,0.6348
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-1.0,0.7723
Drain near lane 7 is clogged and overflowing,english,blocked_drain,-0.7006,0.7177
Drain near lane 8 is clogged and overflowing,english,blocked_drain,-0.6916,0.6612
Drain near lane 13 is clogged and overflowing,english,blocked_drain,-0.7367,0.6548
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.7396,0.7342
Need urgent drain cleaning in block 12,english,blocked_drain,-0.8658,0.8401
Drain near lane 4 is clogged and overflowing,english,blocked_drain,-0.4166,0.7104
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.5653,0.6955
Drain near lane 10 is clogged and overflowing,english,blocked_drain,-0.4031,0.7386
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.6128,0.5915
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.4816,0.677
Need urgent drain cleaning in block 11,english,blocked_drain,-0.3597,0.7225
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.6839,0.4748
Drain near lane 8 is clogged and overflowing,english,blocked_drain,-0.0661,0.6841
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.6849,0.5976
Need urgent drain cleaning in block 12,english,blocked_drain,-0.5404,0.8171
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.7111,0.5952
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.7766,0.8723
Drain near lane 9 is clogged and overflowing,english,blocked_drain,-0.6469,0.6669
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.6731,0.761
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.8499,0.5993
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.6903,0.6245
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.9853,0.7678
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.5228,0.6703
Need urgent drain cleaning in block 19,english,blocked_drain,-0.9238,0.5471
বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.4222,0.8107
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.5024,0.6943
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.7277,0.6362
"ড্রেন বন্ধ হয়ে আছে, পানি নামছে না",bangla,blocked_drain,-0.6145,0.6812
পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.4766,0.5675
Heavy rain causes waterlogging every evening,english,flooding,-0.5598,0.6503
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.5791,0.7058
Road remains flooded for hours after rainfall,english,flooding,-0.4726,0.7575
Frequent flood around ward market,english,flooding,-0.6031,0.6393
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.7263,0.8
Road remains flooded for hours after rainfall,english,flooding,-0.7346,0.4725
Road remains flooded for hours after rainfall,english,flooding,-0.5204,0.4767
Heavy rain causes waterlogging every evening,english,flooding,-0.5029,0.5739
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.628,0.6457
Frequent flood around ward market,english,flooding,-0.9302,0.6381
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.783,0.7446
Frequent flood around ward market,english,flooding,-0.4659,0.6378
Heavy rain causes waterlogging every evening,english,flooding,-0.6558,0.6777
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.8573,0.6882
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.7391,0.4463
Heavy rain causes waterlogging every evening,english,flooding,-0.6016,0.7058
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.2334,0.6365
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.5699,0.7409
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.4992,0.7965
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.5043,0.6736
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.7513,0.6799
Heavy rain causes waterlogging every evening,english,flooding,-0.7716,0.571
Heavy rain causes waterlogging every evening,english,flooding,-0.5934,0.6861
Frequent flood around ward market,english,flooding,-0.757,0.7222
Frequent flood around ward market,english,flooding,-0.7338,0.8003
Road remains flooded for hours after rainfall,english,flooding,-0.4691,0.6335
Road remains flooded for hours after rainfall,english,flooding,-1.0,0.6194
Frequent flood around ward market,english,flooding,-0.4954,0.7621
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.6466,0.6641
Frequent flood around ward market,english,flooding,-0.8024,0.8195
Road remains flooded for hours after rainfall,english,flooding,-0.6695,0.7731
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.7735,0.6764
Road remains flooded for hours after rainfall,english,flooding,-0.6942,0.8184
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.8187,0.788
Road remains flooded for hours after rainfall,english,flooding,-0.936,0.7271
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.7937,0.6749
Heavy rain causes waterlogging every evening,english,flooding,-0.7649,0.7061
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.7787,0.6381
Road remains flooded for hours after rainfall,english,flooding,-0.7683,0.7896
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.682,0.6871
Frequent flood around ward market,english,flooding,-0.6649,0.7551
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.5844,0.6689
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.7109,0.7886
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.7553,0.6858
Road remains flooded for hours after rainfall,english,flooding,-0.8284,0.8555
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.3731,0.8107
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.3177,0.9113
Road remains flooded for hours after rainfall,english,flooding,-0.563,0.5967
Frequent flood around ward market,english,flooding,-0.5764,0.4535
Road remains flooded for hours after rainfall,english,flooding,-0.8818,0.6972
Heavy rain causes waterlogging every evening,english,flooding,-0.3886,0.592
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.5798,0.527
Road remains flooded for hours after rainfall,english,flooding,-0.5563,0.6409
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.5996,0.6756
Heavy rain causes waterlogging every evening,english,flooding,-0.7686,0.5454
Frequent flood around ward market,english,flooding,-0.4412,0.6807
Frequent flood around ward market,english,flooding,-0.542,0.6255
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.592,0.5877
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.9058,0.5289
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.6121,0.6285
Heavy rain causes waterlogging every evening,english,flooding,-0.335,0.7163
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.2702,0.6401
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.9567,0.8029
Frequent flood around ward market,english,flooding,-0.3715,0.6143
Road remains flooded for hours after rainfall,english,flooding,-0.5194,0.5729
Frequent flood around ward market,english,flooding,-0.332,0.6841
Road remains flooded for hours after rainfall,english,flooding,-0.7535,0.6563
আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.819,0.8147
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.9354,0.7833
Road remains flooded for hours after rainfall,english,flooding,-0.7939,0.6962
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.6543,0.6324
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.5086,0.68
Road remains flooded for hours after rainfall,english,flooding,-0.097,0.8056
স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.656,0.6894
Frequent flood around ward market,english,flooding,-0.5066,0.6958
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.4029,0.6286
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.5106,0.6216
Garbage pile has not been removed for three days,english,waste,-0.8026,0.6484
Garbage pile has not been removed for three days,english,waste,-0.5605,0.3384
Need regular waste collection in sector 6,english,waste,-0.8827,0.6466
Waste hotspot beside the canal is growing,english,waste,-0.9482,0.4891
Waste hotspot beside the canal is growing,english,waste,-0.6419,0.7649
Waste hotspot beside the canal is growing,english,waste,-0.7808,0.5761
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.8034,0.5684
Waste hotspot beside the canal is growing,english,waste,-0.8867,0.5594
Garbage pile has not been removed for three days,english,waste,-0.7551,0.5331
Garbage pile has not been removed for three days,english,waste,-0.6486,0.5124
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.6373,0.5577
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.8599,0.5461
Waste hotspot beside the canal is growing,english,waste,-0.5868,0.6829
Waste hotspot beside the canal is growing,english,waste,-0.7822,0.7129
Need regular waste collection in sector 21,english,waste,-0.6388,0.4783
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.5002,0.6599
Need regular waste collection in sector 8,english,waste,-0.5029,0.4762
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.626,0.5769
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.603,0.6278
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.7201,0.4947
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.7017,0.6211
Garbage pile has not been removed for three days,english,waste,-0.2661,0.6034
Waste hotspot beside the canal is growing,english,waste,-0.728,0.8022
Waste hotspot beside the canal is growing,english,waste,-0.7018,0.4314
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.801,0.6266
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.4673,0.3705
Waste hotspot beside the canal is growing,english,waste,-0.8111,0.4499
Waste hotspot beside the canal is growing,english,waste,-0.2984,0.609
Garbage pile has not been removed for three days,english,waste,-0.8901,0.5947
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.7927,0.5332
Need regular waste collection in sector 12,english,waste,-0.7607,0.4683
Garbage pile has not been removed for three days,english,waste,-0.3976,0.3938
Need regular waste collection in sector 4,english,waste,-0.3684,0.4541
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.5477,0.5875
Waste hotspot beside the canal is growing,english,waste,-0.5066,0.5938
Garbage pile has not been removed for three days,english,waste,-0.6515,0.7575
Garbage pile has not been removed for three days,english,waste,-0.485,0.5894
Garbage pile has not been removed for three days,english,waste,-0.6701,0.3251
Waste hotspot beside the canal is growing,english,waste,-0.6487,0.5035
Waste hotspot beside the canal is growing,english,waste,-1.0,0.6077
Garbage pile has not been removed for three days,english,waste,-0.3498,0.6513
Garbage pile has not been removed for three days,english,waste,-0.455,0.4952
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.6325,0.5371
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.9707,0.4904
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.8117,0.6321
Garbage pile has not been removed for three days,english,waste,-0.6167,0.4517
Garbage pile has not been removed for three days,english,waste,-0.3292,0.6446
Need regular waste collection in sector 10,english,waste,-0.8017,0.4705
Garbage pile has not been removed for three days,english,waste,-0.7341,0.6004
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.6718,0.7448
Need regular waste collection in sector 9,english,waste,-0.873,0.5844
Waste hotspot beside the canal is growing,english,waste,-0.8824,0.4299
Garbage pile has not been removed for three days,english,waste,-0.6107,0.513
Need regular waste collection in sector 4,english,waste,-0.5641,0.529
মশার উপদ্রব হচ্ছে ময়লার কারণে,bangla,waste,-0.5323,0.641
Need regular waste collection in sector 16,english,waste,-0.8445,0.612
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-1.0,0.4377
Need regular waste collection in sector 11,english,waste,-0.5227,0.6341
Need regular waste collection in sector 11,english,waste,-0.6195,0.6631
Garbage pile has not been removed for three days,english,waste,-0.9163,0.697
Need regular waste collection in sector 3,english,waste,-0.7367,0.5974
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.5182,0.5467
Garbage pile has not been removed for three days,english,waste,-0.458,0.4742
Waste hotspot beside the canal is growing,english,waste,-0.5178,0.5563
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.8637,0.5768
Need regular waste collection in sector 4,english,waste,-0.5366,0.4114
ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.9612,0.5569
Waste hotspot beside the canal is growing,english,waste,-0.0583,0.6655
